run_id,fold_id,repeat,fold_within_rep,n_train,n_test,seed_used
audit_20260923T050848Z_42,1,1,1,809,203,42
audit_20260923T050848Z_42,2,1,2,810,202,42
audit_20260923T050848Z_42,3,1,3,809,203,42
audit_20260923T050848Z_42,4,1,4,810,202,42
audit_20260923T050848Z_42,5,1,5,810,202,42
audit_20260923T050848Z_42,6,2,1,810,202,43
audit_20260923T050848Z_42,7,2,2,809,203,43
audit_20260923T050848Z_42,8,2,3,809,203,43
audit_20260923T050848Z_42,9,2,4,810,202,43
audit_20260923T050848Z_42,10,2,5,810,202,43
audit_20260923T050848Z_42,11,3,1,809,203,44
audit_20260923T050848Z_42,12,3,2,810,202,44
audit_20260923T050848Z_42,13,3,3,809,203,44
audit_20260923T050848Z_42,14,3,4,810,202,44
audit_20260923T050848Z_42,15,3,5,810,202,44
