technique,detector,f1_clean,f1_obf_mean,f1_obf_sd,f1_drop,n_seeds,in_paper
url_encoding,logistic_regression_raw,1.0,0.7034,0.0,0.2966,5,True
url_encoding,naive_bayes_raw,0.9937,0.7729,0.0,0.2208,5,True
url_encoding,svm_raw,1.0,0.9322,0.0,0.0678,5,True
url_encoding,signature_naive,0.7467,0.4661,0.0,0.2806,5,True
url_encoding,signature_normalized,0.7563,0.7563,0.0,0.0,5,True
double_url_encoding,logistic_regression_raw,1.0,0.6113,0.0,0.3887,5,True
double_url_encoding,naive_bayes_raw,0.9937,0.6108,0.0,0.3829,5,True
double_url_encoding,svm_raw,1.0,0.6111,0.0,0.3889,5,True
double_url_encoding,signature_naive,0.7467,0.4661,0.0,0.2806,5,True
double_url_encoding,signature_normalized,0.7563,0.7563,0.0,0.0,5,True
whitespace_manipulation,logistic_regression_raw,1.0,1.0,0.0,0.0,5,True
whitespace_manipulation,naive_bayes_raw,0.9937,0.9937,0.0,0.0,5,True
whitespace_manipulation,svm_raw,1.0,1.0,0.0,0.0,5,True
whitespace_manipulation,signature_naive,0.7467,0.7349,0.0032,0.0119,5,True
whitespace_manipulation,signature_normalized,0.7563,0.7484,0.0042,0.0079,5,True
case_toggling,logistic_regression_raw,1.0,1.0,0.0,0.0,5,True
case_toggling,naive_bayes_raw,0.9937,0.9937,0.0,0.0,5,True
case_toggling,svm_raw,1.0,1.0,0.0,0.0,5,True
case_toggling,signature_naive,0.7467,0.7467,0.0,0.0,5,True
case_toggling,signature_normalized,0.7563,0.7563,0.0,0.0,5,True
comment_insertion,logistic_regression_raw,1.0,1.0,0.0,0.0,5,True
comment_insertion,naive_bayes_raw,0.9937,0.9937,0.0,0.0,5,True
comment_insertion,svm_raw,1.0,1.0,0.0,0.0,5,True
comment_insertion,signature_naive,0.7467,0.7418,0.0,0.0049,5,True
comment_insertion,signature_normalized,0.7563,0.7563,0.0,0.0,5,True
unicode_substitution,logistic_regression_raw,1.0,0.9436,0.026,0.0564,5,True
unicode_substitution,naive_bayes_raw,0.9937,0.9606,0.0129,0.0331,5,True
unicode_substitution,svm_raw,1.0,0.9655,0.0122,0.0345,5,True
unicode_substitution,signature_naive,0.7467,0.6239,0.0356,0.1228,5,True
unicode_substitution,signature_normalized,0.7563,0.7563,0.0,0.0,5,True
partial_url_encoding,logistic_regression_raw,1.0,0.9749,0.0083,0.0251,5,True
partial_url_encoding,naive_bayes_raw,0.9937,0.9641,0.0146,0.0296,5,True
partial_url_encoding,svm_raw,1.0,0.9891,0.0078,0.0109,5,True
partial_url_encoding,signature_naive,0.7467,0.6116,0.0176,0.1351,5,True
partial_url_encoding,signature_normalized,0.7563,0.7563,0.0,0.0,5,True
