technique,detector,f1_clean,f1_obfuscated_mean,f1_obfuscated_sd,f1_drop
url_encoding,logistic_regression,1.0,0.7034,0.0,0.2966
url_encoding,naive_bayes,0.9937,0.7729,0.0,0.2208
url_encoding,svm,1.0,0.9322,0.0,0.0678
url_encoding,signature_baseline,0.7467,0.4661,0.0,0.2806
url_encoding,signature_normalized,0.7563,0.7563,0.0,0.0
double_url_encoding,logistic_regression,1.0,0.6113,0.0,0.3887
double_url_encoding,naive_bayes,0.9937,0.6108,0.0,0.3829
double_url_encoding,svm,1.0,0.6111,0.0,0.3889
double_url_encoding,signature_baseline,0.7467,0.4661,0.0,0.2806
double_url_encoding,signature_normalized,0.7563,0.7563,0.0,0.0
whitespace_manipulation,logistic_regression,1.0,1.0,0.0,0.0
whitespace_manipulation,naive_bayes,0.9937,0.9937,0.0,0.0
whitespace_manipulation,svm,1.0,1.0,0.0,0.0
whitespace_manipulation,signature_baseline,0.7467,0.7385,0.0029,0.0082
whitespace_manipulation,signature_normalized,0.7563,0.7464,0.0044,0.01
case_toggling,logistic_regression,1.0,1.0,0.0,0.0
case_toggling,naive_bayes,0.9937,0.9937,0.0,0.0
case_toggling,svm,1.0,1.0,0.0,0.0
case_toggling,signature_baseline,0.7467,0.7467,0.0,0.0
case_toggling,signature_normalized,0.7563,0.7563,0.0,0.0
comment_insertion,logistic_regression,1.0,1.0,0.0,0.0
comment_insertion,naive_bayes,0.9937,0.9937,0.0,0.0
comment_insertion,svm,1.0,1.0,0.0,0.0
comment_insertion,signature_baseline,0.7467,0.7418,0.0,0.0049
comment_insertion,signature_normalized,0.7563,0.7563,0.0,0.0
unicode_substitution,logistic_regression,1.0,0.9433,0.024,0.0567
unicode_substitution,naive_bayes,0.9937,0.9573,0.0074,0.0364
unicode_substitution,svm,1.0,0.9673,0.0114,0.0327
unicode_substitution,signature_baseline,0.7467,0.6229,0.0202,0.1238
unicode_substitution,signature_normalized,0.7563,0.7563,0.0,0.0
