session,config,n,median_ms,p95_ms,p99_ms,mean_ms
1,logistic_regression_normalized,263,0.4218,0.5489,0.6776,0.4356
1,naive_bayes_normalized,263,0.4028,0.5485,0.7152,0.423
1,svm_normalized,263,1.6036,2.3576,2.5577,1.6819
1,signature_raw,263,0.0059,0.011,0.0203,0.0061
1,signature_normalized,263,0.0099,0.0222,0.0317,0.0107
1,svm_normalized_uncalibrated,263,0.3659,0.4615,0.5624,0.3712
2,logistic_regression_normalized,263,0.417,0.6171,0.6653,0.4469
2,naive_bayes_normalized,263,0.3925,0.5049,0.5989,0.4042
2,svm_normalized,263,1.5857,1.8798,2.2629,1.6221
2,signature_raw,263,0.0058,0.0113,0.0383,0.0071
2,signature_normalized,263,0.0088,0.0193,0.0334,0.01
2,svm_normalized_uncalibrated,263,0.3868,0.5372,0.6501,0.4024
3,logistic_regression_normalized,263,0.4054,0.534,0.6682,0.4209
3,naive_bayes_normalized,263,0.3931,0.4901,0.5693,0.4038
3,svm_normalized,263,1.6158,1.8631,2.1936,1.64
3,signature_raw,263,0.0058,0.0111,0.0277,0.0064
3,signature_normalized,263,0.009,0.0179,0.0293,0.0097
3,svm_normalized_uncalibrated,263,0.3813,0.6356,0.9584,0.4234
4,logistic_regression_normalized,263,0.4057,0.5455,0.6127,0.4173
4,naive_bayes_normalized,263,0.4051,0.5233,0.5926,0.4146
4,svm_normalized,263,1.6314,2.553,2.8047,1.7439
4,signature_raw,263,0.0057,0.0111,0.0268,0.0088
4,signature_normalized,263,0.0105,0.0254,0.0424,0.012
4,svm_normalized_uncalibrated,263,0.3934,0.5306,0.6383,0.4091
5,logistic_regression_normalized,263,0.7293,0.8495,0.9659,0.7087
5,naive_bayes_normalized,263,0.3981,0.5325,0.6885,0.4142
5,svm_normalized,263,1.5834,1.9917,2.3955,1.6309
5,signature_raw,263,0.0057,0.0109,0.0195,0.006
5,signature_normalized,263,0.0093,0.0197,0.0377,0.0102
5,svm_normalized_uncalibrated,263,0.3684,0.5523,0.8169,0.3935
